SKU,CategoryCode,SKUStatus,SupplierNumber
753699,450,Active,53900
755868,450,Active,53900
760009,380,Discontinued,2044
770035,380,Active,15851
770036,700,Discontinued,15851
770061,380,Active,82649
770071,380,Active,82649
770134,380,Active,82649
770145,380,Active,82649
770149,380,Active,5349
770271,700,Discontinued,15851
770289,700,Discontinued,15851
771113,380,Active,5349
771253,380,Active,15851
771444,380,Active,5349
771733,380,Active,5349
772202,380,Active,15851
772210,380,Active,15851
772301,380,Active,15851
772343,380,Active,15851
772384,380,Active,15851
772541,380,Active,15851
772632,380,Active,15851
772657,380,Active,15851
772822,380,Active,82649
772871,380,Active,82649
772889,380,Active,82649
772897,380,Active,82649
772905,380,Active,82649
1010004,330,Active,51726
1010005,330,Active,51726
1010006,330,Active,51726
1010007,330,Active,51726
1010008,330,Active,51726
1010009,330,Active,51726
1010010,330,Active,51726
1010011,330,Active,51726
1010019,330,Active,51726
1013333,330,Discontinued,2044
1030042,330,Active,51726
1030052,330,Active,88111
1030477,330,Active,88111
1050034,330,Active,51726
1050035,310,Active,88111
1050036,330,Active,51726
1050037,330,Discontinued,51726
1050244,310,Active,5002
1050251,310,Active,5002
1050269,310,Active,5002
1050400,310,Active,5002
1070020,310,Discontinued,16934
1070022,310,Active,88111
1090005,330,Seasonal,88111
1090009,330,Active,88111
1090010,330,Seasonal,51726
1090014,330,Active,51726
1090547,330,Seasonal,51726
1090554,330,Discontinued,51726
1200037,370,Active,51726
1200038,370,Discontinued,88111
1200040,370,Active,51726
1200043,370,Active,51726
1200066,370,Active,5446
1200068,370,Active,5446
1200071,370,Discontinued,5446
1200072,370,Discontinued,5446
1200079,370,Pre Active,5446
1200083,370,Active,5446
1200131,370,Discontinued,5446
1200132,370,Discontinued,5446
1200133,370,Discontinued,5446
1200134,370,Discontinued,5446
1200135,370,Discontinued,5446
1200136,370,Discontinued,5446
1200137,370,Discontinued,5446
1200140,370,Discontinued,5446
1200142,370,Discontinued,5446
1200188,370,Discontinued,1679
1200196,370,Discontinued,5446
1200205,370,Discontinued,5446
1200206,370,Discontinued,5446
1200207,370,Discontinued,5446
1200208,370,Discontinued,5446
1200209,370,Discontinued,5446
1200210,370,Discontinued,5446
1200212,370,Discontinued,5446
1200220,370,Discontinued,5446
1200221,370,Discontinued,5446
1200222,370,Discontinued,5446
1200223,370,Discontinued,5446
1200224,370,Discontinued,5446
1200225,370,Discontinued,5446
1200226,370,Discontinued,3182
1200227,370,Discontinued,5446
1200228,370,Discontinued,5446
1200230,370,Discontinued,5446
1200233,370,Discontinued,5446
1200234,370,Discontinued,5446
1200235,370,Discontinued,5446
1200236,370,Discontinued,5446
1200239,370,Discontinued,5446
1200240,370,Discontinued,5446
1200241,370,Discontinued,5446
1200242,370,Discontinued,5446
1200246,370,Discontinued,5446
1200248,370,Active,5446
1200256,370,Discontinued,5446
1200257,370,Discontinued,5446
1200259,370,Discontinued,5446
1200263,370,Discontinued,63375
1200265,370,Discontinued,5446
1200270,370,Discontinued,63375
1200271,370,Discontinued,5446
1200272,370,Discontinued,63375
1200273,370,Discontinued,5446
1200274,370,Discontinued,3182
1200275,370,Discontinued,5446
1200277,370,Discontinued,5446
1200279,370,Discontinued,5446
1200280,370,Discontinued,5446
1200281,370,Discontinued,5446
1200282,370,Discontinued,5446
1200284,370,Discontinued,5446
1200285,370,Discontinued,5446
1200287,370,Discontinued,5446
1200288,370,Discontinued,5446
1200300,370,Discontinued,5446
1200303,370,Discontinued,5446
1202357,700,Active,51726
1202365,370,Active,51726
1204304,370,Discontinued,5446
1204320,370,Discontinued,5446
1204338,370,Discontinued,5446
